species group name	protonym	 Author
836: myops	Apsychomyrmex myops 	Wheeler, W.M. 1910a: 261
841: samoanus	Adelomyrmex (	Arctomyrmex) samoanus Wilson & Taylor, 1967: 77
842: silvestrii	Apsychomyrmex silvestrii 	Menozzi, 1931b: 270
843: striatus	Adelomyrmex striatus 	Fernández, 2003b: 29
844: tristani	Apsychomyrmex tristani 	Menozzi, 1931b: 269
845: vaderi	Adelomyrmex vaderi 	Fernández, 2003b: 33
849: aureocuprea	Adetomyrma aureocuprea 	Yoshimura & Fisher, 2012b: 10
850: bressleri	Adetomyrma bressleri 	Yoshimura & Fisher, 2012b: 12
851: caputleae	Adetomyrma caputleae 	Yoshimura & Fisher, 2012b: 17
852: cassis	Adetomyrma cassis 	Yoshimura & Fisher, 2012b: 19
853: caudapinnigera	Adetomyrma caudapinniger 	Yoshimura & Fisher, 2012b: 20
854: cilium	Adetomyrma cilium 	Yoshimura & Fisher, 2012b: 20
855: clarivida	Adetomyrma clarivida 	Yoshimura & Fisher, 2012b: 21
856: goblin	Adetomyrma goblin 	Yoshimura & Fisher, 2012b: 22
857: venatrix	Adetomyrma venatrix 	Ward, 1994: 161
860: froggatti	Monomorium (	Adlerzia) froggatti Forel, 1902h: 445 
861: katerinae	Stenothorax katerinae 	McAreavey, 1949: 3
862: silvestrii	Machomyrma silvestrii 	Emery, 1914b: 182
865: attenuatus	Aenictogiton elongatus var. attenuatus 	Santschi, 1919c: 247
866: bequaerti	Aenictogiton bequaerti 	Forel, 1913b: 314 
867: elongatus	Aenictogiton elongatus 	Santschi, 1919c: 246
868: emeryi	Aenictogiton emeryi 	Forel, 1913b: 315 
869: fossiceps	Aenictogiton fossiceps 	Emery, 1901d: 49
870: schoutedeni	Aenictogiton schoutedeni 	Santschi, 1924b: 198
871: sulcatus	Aenictogiton sulcatus 	Santschi, 1919c: 247
874: abeillei	Alaopone abeillei 	André, 1886: 855 
875: acerbus	Aenictus acerbus 	Shattuck, 2008c: 4
876: aitkenii	Aenictus aitkenii 	Forel, 1901a: 475 
877: alluaudi	Aenictus bottegoi var. alluaudi 	Santschi, 1910g: 754
878: alticola	Aenictus (	Typhlatta) alticola Wheeler, W.M. & Chapman, in Wheeler, W.M. 1930g: 205
879: ambiguus	Aenictus ambiguus 	Shuckard, 1840b: 268 
880: anceps	Aenictus bottegoi subsp. anceps 	Forel, 1910c: 249 
881: andrieui	Aenictus furculatus st. andrieui 	Santschi, 1930a: 56
882: arabicus	Aenictus arabicus 	Sharaf & Aldawood, in Sharaf, Aldawood & El Hawagry, 2012b: 42
883: aratus	Aenictus aratus 	Forel, 1900b: 74 
884: artipus	Aenictus artipus 	Wilson, 1964a: 449
885: arya	Aenictus arya 	Forel, 1901a: 472 
886: asantei	Aenictus asantei 	Campione, Novak & Gotwald, 1983: 873
887: asiatica	Aenictus aratus var. asiatica 	Forel, 1911h: 453 
888: ashaverus	Aenictus gibbosus r. ashaverus 	Forel, 1913k: 22 
889: asperivalvus	Aenictus asperivalvus 	Santschi, 1919b: 233 
890: atripennis	Aenictus clavatus r. atripennis 	Forel, 1913k: 24 
891: bakeri	Aenictus bakeri 	Menozzi, 1925c: 439
892: baliensis	Aenictus baliensis 	Jaitrong & Yamane, 2013: 174
893: batesi	Aenictus batesi 	Forel, 1911e: 255 
894: bayoni	Aenictus bayoni 	Menozzi, 1933a: 94
895: bengalensis	Typhlatta bengalensis 	Mayr, 1879: 669 
